o:id,dcterms:title,jdc:hasRencontre,jdc:complexity,jdc:valeurUtilite
61019,"Yolla. Polity",,101,
61020,"Gérard. Henneron",,101,
61021,"Rosalba. Palermiti",,101,
61022,"Gilles Deleuze",,1261,70
61023,"Michèle Hudon",,187,
61024,"Alain Lecomte",,101,
61025,"Laurent Léveillé",,101,
61026,"Louis Couturat",,117,
61027,"Léopold Leau",,117,
61028,"Jaap Maat",,97,
61029,"Šākir Laʿībī",,127,
61031,"Célestin Deliège",,105,
61033,"Jean-Pierre Cahier",,375,20
61034,"Michel Lagarde",,105,
61035,"Jean Pépin",,115,
61037,"Hélène Trocmé-Fabre",,93,
61038,"Yves Citton",20,1823,60
61039,"Frédéric Lordon",,195,30
61040,"Ontology Matching",,95,
61041,"Serge Mauger",,107,
61042,"Sauvanet P.",,11,
61043,"Robert Blanché",,85,
61044,"Pierre. Sauvanet",,97,
61045,"Robert Pogue. Harrison",,97,
61047,"John. Cage",,"19 | 93",
61048,"Bernard Stiegler",,811,60
61049,"Gilles Châtelet",,23,10
61050,"Pascal. Moliner",,97,
61051,"Daniel Parrochia",,311,
61052,"Antonio R. Damasio",,109,10
61053,"Alain Prochiantz",,105,
61054,"Daniel Dubois",,105,
61055,"Paul Valéry",,101,60
61056,"Gregory Bateson",,413,30
61057,"Michel Bourdeau",,97,
61058,"Roy Thomas Fielding",,75,
61059,"Pierre Teilhard de Chardin",,195,30
61060,"Fernande Tardivel",,101,
61061,"Ruskey, Frank",,11,
61062,"Weston, Mark",,11,
61063,"S. Chow",,113,
61064,"F. Ruskey",,113,
61065,"B. Rieder",30,331,30
61066,"P. Lévy",,"19 | 195",
61067,"B. B Bederson",,101,
61068,"J. Grosjean",,101,
61069,"J. Meyer",,101,
61070,"D. Memmi",,93,
61071,"Frédéric Amblard",,333,
61072,"Denis Phan",,101,
61073,"Noëlle. Batt",,211,30
61074,"Guy Hocquenghem",,109,
61075,"René Schérer",,109,
61076,"Peter Wildbur",,109,
61077,"Michael Burke",,109,
61078,"Robert Klanten",,105,
61079,"Philippe Descola",10,531,60
61080,Collectif,,2271,
61081,"Jean Sallantin",,211,20
61082,"Jean-Claude Beaune",,101,
61083,"Gérard Chazal",,101,
61086,"Friedrich Nietzsche",,101,30
61087,"André Leroi-Gourhan",,109,30
61088,"Mioara Mugur-Schächter",20,199,40
61089,"Francis Jutand",,105,
61091,"Kostas Terzidis",,97,
61092,"Andrew Glassner",,105,
61093,"Etienne Guyon",,117,
61094,"Alice Pedregosa",,117,
61095,"Béatrice Salviat",,117,
61096,"Fred Turner",,113,
61097,"Thomas Berns",,245,50
61098,"Gaston Bachelard",,825,50
61099,"E. H Chi",,101,
61100,"J. T Riedl",,101,
61101,"M. Kitsak",,109,
61102,"L. K Gallos",,109,
61103,"S. Havlin",,109,
61104,"F. Liljeros",,109,
61105,"L. Muchnik",,109,
61106,"H. E Stanley",,109,
61107,"H. A Makse",,109,
61108,"Michel Serres",10,399,80
61109,"Walter J. Ong",,113,
61110,"Götz Uebe",,147,
61112,"J. Heer",,191,
61113,"John Venn",,105,
61116,"Claude Baltz",60,269,50
61117,"Luke Rhinehart",,97,
61118,"Jacques Bouveresse",,203,10
61119,"Emmanuel Sander",50,501,60
61121,"Hans Robert Jauss",,101,30
61122,"Pierre Boulez",10,199,30
61123,"Catherine Cazenave",,215,
61124,"Félix Guattari",,585,60
61125,"Brigitte Juanals",30,413,50
61126,"Jean-Max Noyer",70,1025,70
61127,Krishnamurti,,85,
61128,"Susana Nuccetelli",,97,
61129,"L. A Coldren",,105,
61130,"S. W Corzine",,105,
61131,"J. Wiley",,105,
61132,"Pierre Lévy",30,1871,60
61133,"Carl Gustav Jung",,575,70
61134,"Timothy Francis Leary",,101,50
61135,"Jean-Pierre Astolfi",,97,
61136,"Evelyne Broudoux",10,377,10
61137,"Sylvie Chartron",,109,
61138,"Stephan Renaud",,105,
61139,"Olivier Gerbé",,109,
61140,"Guy Mineau",,109,
61141,"Frédéric Fürst",,109,
61142,"Francky Trichet",,109,
61143,"Anthony Hock-koon",,113,
61144,"Mourad Oussalah",,113,
61145,"Thibaut de Saint-Maurice",,97,
61146,"Tim Berners-Lee",,233,50
61147,"Carole Lipsyc",10,297,
61148,"Imad Saleh",90,3003,90
61149,"Sylvie Leleu-Merviel",60,1013,50
61150,"Yves Jeanneret",10,607,30
61151,"Luc Massou",40,507,20
61152,"Nasreddine BouhaÏ",80,1689,30
61153,"Jean-Pierre Balpe",70,1273,70
61154,"S. R. Ranganathan",,93,
61155,"Jean Tellez",,97,
61156,"Colette Nativel",,105,
61157,"Marc Fumaroli",,117,10
61158,"Johann Joachim Winckelmann",,89,
61159,"Jean-Claude Fredouille",,105,
61160,"Michel Fishbane",,105,
61161,"Pierre Chiron",,105,
61163,"André Masson",,89,
61164,"M. Battistini",,101,
61165,"José M. Zamora",,113,
61166,"Alain Badiou",,505,40
61167,"Michel Tournier",,105,
61168,"John Cage",,297,70
61169,"Ferguson Russell",,109,
61171,"Manuel Zacklad",70,1083,70
61172,"Edgar Morin",,739,80
61173,"Khaldoun Zreik",80,1115,70
61174,"Jean-Baptiste Lalanne",,115,
61175,"Johann Amos Comenius",,93,
61176,"Comenius (1592-1670)",,127,
61177,"Michel de (1853-1929). Adaptateur Crayencour",,127,
61178,"Francis (1849-1916). Traducteur Lützow",,127,
61179,"Benjamin Huynh-Kim-Bang",,81,
61180,"Joseph Mariani",,109,
61181,"Jean-Michel Besnier",,109,
61182,"Jacques Bordé",,109,
61183,"Jean-Michel Cornu",,113,10
61184,"Marie Frage",,109,
61185,"Jean-Gabriel Ganascia",,339,
61186,"Jean-Paul Haton",,109,
61187,"Evelyne Serverin",,109,
61188,"Michèle Drechsler",,81,
61189,"Michel Foucault",,207,60
61190,"Nathalie Girard",,105,
61191,"Régine Teulier",,199,
61192,"Jean Charlet",,199,
61193,"Pierre Tchounikine",,199,
61194,"Roberto Casati",,101,
61196,"Pierre Thibaud",,135,
61197,"Frank Pierce",,143,
61198,"F. Merceur",,105,
61199,"M. Le Gall",,105,
61200,"A. Salaun",,105,
61201,"Émilie Zum Brunn",,117,
61202,"Alain de Libera",,289,
61203,"James Hendler",,77,
61204,"Ora Lassila",,77,
61205,"Ludwig Wittgenstein",,187,50
61206,"Gilles-Gaston Granger",,109,20
61207,"Bertrand Russell",,109,10
61208,"Pierre Bourdieu",,319,30
61209,"Omraam Mikhael Aïvanhov",,109,
61210,"F. Pirolli",,93,
61211,"A. Coutant",,101,
61212,"T. Stenger",,97,
61213,"Claude-Henri Watelet",,117,
61214,"Samuel Danon",,117,
61215,"Thomas W. Gaehtgens",,117,
61216,"Allen S. Weiss",,105,
61217,"Manuel Boutet",,105,
61218,"Étienne Armand Amato",30,223,3
61219,"Thomas Gaon",,105,
61220,"Denis Bertrand",,105,
61221,"Jacques Fontanille",5,321,5
61222,"Hélène Doyon",,19,
61223,"Alain Findeli",,97,
61224,"Philippe Bootz",80,749,70
61225,"Samuel Szoniecky",100,7819,100
61226,"David Rabouin",,195,40
61227,"Ivanova Malinka",,103,
61228,"Chatti Mohammed Amine",,103,
61229,"Julià Minguillón",,111,
61230,"Jordi Conesa",,111,
61231,"Shakir Luaybi",,105,
61232,"Jean-Louis Ermine",,97,
61233,"Guy Le Gaufey",,105,
61234,"Masaki Harada",,105,
61235,"Ernst Cassirer",,297,20
61236,"Claude Fronty",,109,
61237,"Jean Lacoste",,203,
61238,"Ole Hansen-Love",,113,
61239,"Jean-Michel Penalva",,129,
61240,"Séraphin Alava",,19,
61241,"Eléonore Message-Chazel",,19,
61242,"Najoua Mohib",,19,
61243,"Christian Laval",,19,
61244,"H. N. Kim",,97,
61245,"A. Roczniak",10,105,10
61246,"A. EI-Saddik",,97,
61247,"Louis de Mailly",,109,
61248,"Dominique Goy-Blanquet",,109,
61249,"Marie-Anne Paveau",,109,
61250,"Aude Volpilhac",,109,
61251,"Husserl Edmund",,109,10
61252,"Fabian Neuhaus",,171,
61253,"Elizabeth Florescu",,171,
61254,"Antony Galton",,171,
61255,"Michael Gruninger",,171,
61256,"Nicola Guarino",,171,
61257,"Leo Obrst",,171,
61258,"Arturo Sanchez",,171,
61259,"Amanda Vizedom",,171,
61260,"Peter Yim",,171,
61261,"Barry Smith",,171,
61262,"Jacques Lautrey",,211,
61263,"Yves Lecerf",,97,
61264,"Philippe Henri Louis Amiel",,105,
61265,"Théo Röhle",,109,
61267,"S. Crozat",,133,
61268,"U.I.I. des Contenus",,129,
61269,"UTC des Savoirs",,129,
61270,"Fabien Gandon",,633,30
61271,"Alain Giboin",,101,
61272,"Frederic Nef",,105,
61273,"Achille C. Varzi",,105,
61274,"Paul Otlet",,145,10
61275,"Robert Estivals",,227,
61276,"André Canonne",,141,
61277,"Magda Azzu",,81,
61278,"Jean Baudrillard",,187,30
61279,"Norbert Wiener",,101,40
61280,"Jean Lassègue",,235,
61281,"Anita Williams Woolley",,151,
61282,"Christopher F. Chabris",,151,
61283,"Alex Pentland",,151,
61284,"Nada Hashmi",,151,
61285,"Thomas W. Malone",,151,
61286,"nigel Thrift",,95,
61288,"Guy Melançon",,121,
61289,"Annaig Mahé",,127,
61290,"Bruno Latour",,939,70
61291,"Augustin Berque",,553,70
61292,"Jacques Ferber",,285,40
61293,"Pierre Boudon",,19,
61294,"P. Fastrez",,113,
61295,"H. Peeters",,113,
61296,"B. Darras",,113,
61297,"François Rastier",,779,40
61298,"Luc Desnoyers",,19,
61299,"Louis Hébert",,19,
61300,"Olfa Zaïbet",,113,
61301,"Pierre-Léonard Harvey",,113,
61302,"Jean-François Dortier",,113,
61303,"Bruno Bachimont",20,897,60
61304,"Anne Mayere",,121,
61305,"Francis Lapique",,121,
61306,"Stéphane Mallarmé",,117,40
61307,"Antoine Augustin Cournot",,89,
61308,"Trungpa Chogyam",,101,10
61309,"Mirta B. Gordon",,101,
61310,"Hélène Paugam-Moisy",,101,
61311,"Christian. Berger-Vachon",,101,
61312,"Baudoin Decharneux",,121,
61313,"Luc Nefontaine",,121,
61314,"Jean Louis Le Moigne",,201,40
61315,"Marc Augier",,99,
61316,"Frédéric Caumont",,135,
61317,"Alexandre Serres",,171,
61318,"Pascal Duplessis",,171,
61319,"Olivier Le Deuff",30,777,20
61320,"Ivana Ballarini-Santonocito",,171,
61321,"Jacques Kerneis",,171,
61322,"Florence Thiault",,299,
61323,"Agnès Montaigne",,171,
61324,"Yannick Prié",,23,40
61325,"David Benmahdi-Gombert",,157,
61326,"Jean-François Dégremont",30,165,30
61327,"Francine Grelier",,99,
61328,"Daniel Lepage",,125,
61329,"Fabrice Papy",,227,
61330,"Steve Whittaker",,149,
61331,"Blaise Cronin",,149,
61332,"Jillian C. Wallis",,183,
61333,"Matthew S. Mayernik",,183,
61334,"Christine L. Borgman",,255,
61335,"Alberto Pepe",,183,
61336,"Francisco Alvarez-Cavazos",,175,
61337,"David A. Garza-Salazar",,175,
61338,"Juan C. Lavariega-Jarquin",,175,
61339,"Ina Fourie",,143,
61340,"Roger T. Pédauque",,261,30
61341,"Nathalie Casemajor Loustau",,19,
61342,"Stéphane Chaudiron",30,293,10
61343,"Sophie Lacour",,91,
61345,"Alan F. Blackwell",,135,
61346,"Michael Zimmer",,123,
61347,"Melanie Feinberg",,123,
61348,"Maria Pagoni",,143,
61349,"Alain Faudemay",,113,
61350,"Douglas Hofstadter",10,337,40
61352,"Anne Bouthry",,117,
61353,"Christophe Jourdain",,117,
61354,"Gaël Bodet",,117,
61355,"Pierre-Henri Amalric",,117,
61356,"Manthos Santorineos",,113,
61357,"Yann Moulier Boutang",,465,20
61358,"Narendra Jussien",,105,
61359,"Stéphane Loiseau",,109,
61360,"Helka Folch",,113,
61361,"Benoît Habert",,113,
61362,"Dominique Lestel",,121,
61363,"James Paul Gee",,113,
61364,"Pierre Boutang",,113,
61365,"Madjid Ihadjadène",50,643,10
61366,"Pierre Mariot",,129,
61367,"Christine Golbreich",,129,
61368,"Jean-Pierre Cotton",,129,
61369,"François Vexler",,129,
61370,"Alain Berger",,129,
61371,"Eric Lecerf",,129,
61372,"Toni Negri",,129,
61373,"Sophie Demichel",,129,
61374,"Mara. Lacché",,105,
61375,"Observatoire musical français.",,101,
61376,"Jean-Philippe Vidal",,113,
61377,"Didier Oillo",,117,
61378,"Henri Hudrisier",30,125,30
61379,"L’Hédi Zaher",,167,
61380,"Gilbert Isoard",,167,
61381,"Thierry Bazillon",,91,
61382,"H. F. Moed",,229,
61384,"Pierre Carbone",,19,
61385,"Sven Ortoli",,89,
61386,"Monique Linard",,97,
61387,"Igor Babou",,107,
61388,"Francis Renaud",,113,
61389,"S. Golder",,107,
61390,"B. A Huberman",,107,
61391,"Alain Roger",,255,
61392,"Oleg Prosorov",,81,
61393,"Henri Bergson",,119,50
61394,"Olivier Maurice",,143,
61395,"Alain Reineix",,143,
61396,"Aurélien Bénel",,159,
61397,"L'hédi Zaher",,159,
61398,"Christophe Lejeune",,159,
61399,"Chao Zhou",,159,
61400,"Christine Plumejeaud",,19,
61401,"Christophe Tricot",,175,
61402,"Dominique Boullier",10,275,10
61403,"Maxime Crepel",,19,
61404,"Jean-Louis Ludovic",,107,
61405,"Jacques Derrida",,231,20
61406,"Romain Vuillemot",,107,
61407,"Alexandre Monnin",10,229,30
61408,"Freddy Limpens",,215,
61409,"David Laniado",,135,
61410,"Chaomei Chen",,113,
61412,"Marie-Jeanne Borel",,19,
61413,"Pierre Moor",,19,
61414,"Joanne Powell",,183,
61415,"Penelope A. Lewis",,183,
61416,"Neil Roberts",,183,
61417,"Marta García-Fiñana",,183,
61418,"R. I. M. Dunbar",,183,
61419,"Arild Utaker",,121,
61420,"Anne Sauvagnargues",,113,
61421,"Douglas Rushkoff",,121,
61422,"Frédéric Lebaron",,113,
61423,"Bernard Jacquemin",,245,
61424,"Claude Yacoub",70,539,60
61425,"Joseph Stiglitz",,129,
61426,"Amartya Sen",,129,
61427,"Jean-Paul Fitoussi",,129,
61428,"Abderrahim Bargaoui",,215,
61429,"Marion Gosselin",,119,
61430,"Frédéric Gosselin",,119,
61431,"Romain Julliard",,239,
61432,"Raphaël Josset",,143,
61433,"Ciro Cattuto",,163,
61434,"Christoph Schmitz",,163,
61435,"Andrea Baldassarri",,163,
61436,"Vito D.P. Servedio",,163,
61437,"Vittorio Loreto",,163,
61438,"Andreas Hotho",,163,
61439,"Miranda Grahl",,163,
61440,"Gerd Stumme",,163,
61441,"Nisrine Zammar",,19,
61442,"Jonathan Scott Lee",,101,
61443,"Hermann Hesse",,117,40
61444,"Francis Bailly",,117,
61445,"Giuseppe Longo",,117,
61446,Moebius,,125,30
61447,"Alejandro Jodorowsky",,129,20
61448,"Sandro Varano",,99,
61449,"Guillaume Hutzler",,161,
61450,"Sophie Lavaud-Forest",10,159,20
61451,"Federica Burini",,115,
61452,"Jean-Pierre Vernant",,101,50
61453,"Thierry de Duve",,109,30
61454,"Gilles Lipovetsky",,105,
61455,"Jean-François Lyotard",,109,60
61456,"Colin Ware",,121,
61457,"E. R. Tufte",,109,
61458,"Edward R. Tufte",,191,
61459,"Sigmar-Olaf Tergan",,187,
61460,"Gerald Jaeschke",,105,
61461,"Martin Leissler",,105,
61462,"Matthias Hemmje",,105,
61463,"Tanja Keller",,117,
61464,"Julie Steele",,321,
61465,"Noah Iliinsky",,321,
61466,"Glenn J. Myatt",,117,
61467,"Wayne P. Johnson",,117,
61468,"Riccardo Mazza",,105,
61469,"Daniel A. Keim",,163,
61470,"Ben Fry",,117,20
61471,"Chun-Houh Chen",,113,
61472,"Wolfgang Hardle",,113,
61473,"Antony Unwin",,113,
61474,"Jérôme Euzenat",,115,
61475,"Abdelhak Imoussaten",,115,
61476,"Yaël Champclaux",,107,
61477,"Hui Liu",,107,
61478,"Julien Hué",,107,
61479,"Jean-Philippe Magué",,115,
61480,Ghadakpour,,15,
61481,"Francis Édeline",,513,
61482,"E. V.B Wandji",,115,
61483,"Milena Vezneva",,107,
61484,"Antoine Traisnel",,89,
61485,"Elie Raad",,19,
61486,"Alexandre Passant",,19,
61487,"Franck Jedrzejewski",,207,40
61488,"B. Grassineau",,89,
61489,"Stéphanie Bridoux",,107,
61490,"Frédérique Bros",,107,
61491,"Paul Virilio",,121,40
61492,"Philippe Petit",,117,
61493,"Philippe Useille",40,179,20
61494,Hermes,,167,
61495,"René Thom",,345,50
61496,"Abderrazak Mkadmi",50,373,40
61497,"Denis Bayart",,159,
61498,"Brigitte Guyot",,19,
61499,"Fanny Georges",30,291,20
61500,"John Stewart",,227,
61501,"Patrick Zimbardo",,107,
61502,"Jean-Daniel Fekete",,447,20
61503,"Eric Lecolinet",,163,
61504,"Anne Cordier",,211,
61505,"Édouard Pommier",,109,30
61506,"Patrick Gros",,151,
61507,"Eric Alliez",,105,
61508,"Pierre Beust",,19,
61509,"Pierre. Pastré",,105,
61510,"Humberto R. Maturana",,109,40
61511,"Francisco J. Varela",,259,70
61512,"Frances Yates",,101,
61513,"Sylvianne Rémi-Giraud",,125,
61514,"Andrée Tiberghien",,125,
61515,"Nelson Goodman",,125,
61516,"Jacques Morizot",,125,
61517,"A. Bénel",,113,
61518,"C. Lejeune",,113,
61519,"Jeffrey Heer",,367,
61520,"Ben Shneiderman",,271,
61521,"Abolghasem Sadeghi-Niaraki",,105,
61522,"Hakim Hachour",50,1191,50
61523,"E. T Whittaker",,105,
61524,"G. N Watson",,105,
61525,"Jacques Bertin",,105,30
61526,"David Bainbridge",,139,
61527,"Brook J. Novak",,139,
61528,"Sally Jo Cunningham",,139,
61529,"Clay Shirky",,101,
61530,"Jacques Bril",,113,
61531,"Florence Amardeilh",,107,
61532,"Isabelle Boydens",,19,
61533,"Marian Dörk",,191,
61534,"Nathalie Henry Riche",,191,
61535,"Gonzalo Ramos",,191,
61536,"Susan Dumais",,191,
61537,"Gyu Hyun Kwon",,139,
61538,"Yoon Suk Lee",,139,
61539,"Mithilesh Kumar",,139,
61540,"Pierre Legendre",,121,
61541,"María Inés Laitano",70,575,30
61542,"Claudia Kozak",,199,
61544,"Hermes Salceda",,231,
61545,"Pierre Bazantay",,231,
61546,"Christelle Reggiani",,231,
61547,"Vincent Le Chevalier",,107,
61548,"Joël Quinqueton",,121,
61549,"Ivan Poupyrev",,175,
61550,"Philipp Schoessler",,175,
61551,"Jonas Loh",,175,
61552,"Munehiko Sato",,175,
61553,"Alain Cadix",,219,
61554,"Olfa Zaïbet Greselle",,19,
61555,"François Pachet",,113,
61556,"Olivier Zara",,149,
61557,"Loïc Le Meur",,149,
61558,"C. Meyer",,117,
61559,"R. Chalon",,117,
61560,"C. Bessière",,117,
61561,"B. David",,117,
61563,"Jacques Creusot",,119,
61564,"Joachim Schöpfel",,243,
61565,"François Jullien",,135,
61566,"Cédric Loi",,107,
61567,"André Demailly",,129,
61568,"Jean-Yves Bosseur",10,219,10
61569,"Isabelle Garron",,117,
61570,"Jean-Luc Minel",,117,
61571,"Raphaël Bessis",,135,
61572,"Olivier Carton",,113,
61573,"Gottfried Wilhelm Leibniz",,171,40
61574,"Danah Boyd",,259,20
61575,"Kate Crawford",,139,
61576,"M. Agrawala",,105,
61577,"Bernard Darras",,109,
61578,"Bruce Porter",,113,
61579,"Vladimir Lifschitz",,113,
61580,"Frank Van Harmelen",,113,
61581,"James Gleick",,117,20
61582,"Boris Cyrulnik",,113,40
61583,"Gilbert Gourinat",,113,
61584,"Clarisse Herrenschmidt",,113,
61585,"Ilya Prigogine",,113,30
61586,"Isabelle Stengers",,669,10
61587,"Jacques Perriault",,305,
61588,"Céline Vaguer",,121,
61589,"Andrew Feenberg",,113,
61590,"Tony Hey",,125,
61591,"Howard Gardner",,113,
61592,"Daniel Moatti",,113,
61593,"Henri Atlan",,105,
61594,"Eli Pariser",,113,
61595,"Daniel M. Romero",,85,
61596,"Wojciech Galuba",,81,
61597,"Sitaram Asur",,81,
61598,"Bernardo A. Huberman",,77,
61599,"Alain Séré",,101,
61600,"Alain-Marie Bassy",,101,
61601,"F. Sharp",,105,
61602,"Marie-Haude Caraës",,109,
61603,"Nicole Marchand-Zanartu",,109,
61604,"J. A Dunne",,101,
61606,"Gem Stapleton",,179,
61607,"John Howse",,179,
61608,"John Lee",,179,
61609,"Raul Niño Zambrano",,179,
61610,"Yuri Engelhardt",,179,
61611,"Christian Bonnet",20,141,
61612,"Pierre Wagner",,137,
61613,"Alexis Bienvenu",,137,
61614,"Ronan de Calan",,137,
61615,"Moritz Schlick",,113,
61616,"Michel Blondel",,105,
61617,"Louis-José Lestocart",,203,
61618,"Paul Ricœur",,457,10
61619,"Léonce Fabre Des Essarts",,123,
61620,"Jean-Amos Comenius",,105,
61621,"Jacques Lévy",,105,
61622,"Pascal Jérôme",,121,
61623,"J. C Dutot",,89,
61624,"Hervé Le Crosnier",,93,40
61626,"Luc Dall’Armellina",5,101,
61627,"Philippe Lacoue-Labarthe",,117,
61628,"Jean-Luc Nancy",,117,
61629,"Georges Couton",,113,
61630,"Gianluca Mura",,113,
61631,"Brigitte Albero",,247,
61632,"Nicole Poteaux",,129,
61633,"Alain Cardon",,93,30
61634,Monnoyer-Smith,,109,
61635,"Manuel Lima",,113,
61636,"François Ewald",,125,
61637,"Alessandro Fontana",,125,
61638,"Frédéric Gros",,125,
61639,"Alain Caillé",,125,
61640,"Marc Humbert",,125,
61641,"Serge Latouche",,125,
61642,"Patrick Viveret",,125,
61643,"Stephen Few",,121,
61644,"Philippe Breton",,377,
61645,"Philipp K. Janert",,113,
61646,"Liming Chen",,105,
61647,"Isabelle Bloch",,129,
61648,"Laurence Cholvy",,129,
61649,"Pascal Hitzler",,113,
61650,"Sebastian Rudolph",,113,
61651,"Markus Kroetzsch",,113,
61652,"Dominique Cardon",,369,20
61653,"J. F Noubel",,105,
61654,"Gilbert Paquette",,169,
61655,"Olivier Mongin",,125,
61656,"Ernst Jünger",,125,
61657,"Henri Plard",,125,
61658,"F. Bentayeb",,125,
61659,"O. Boussaïd",,125,
61660,"J. Darmont",,125,
61661,"S. Loudcher",,125,
61662,"David M. Berry",,121,
61663,"David-Olivier Lartigaud",,121,
61664,"Geoff Cox",,139,
61665,"Alex McLean",,139,
61666,"Adrian Ward",,139,
61667,"Larry Busbea",,129,
61668,"Zoi Kapoula",,109,
61669,"Mario Borrillo",,109,
61670,"Danièle Duport",,131,
61671,"Karl von Frisch",,117,
61672,"Otto von Frisch",,117,
61673,"Eric Klopfer",,129,
61674,"Edmund Husserl",,277,
61675,"Alfred Gell",,243,
61676,"I.M. Lewis",,141,
61677,"Gillbert Lewis",,141,
